id,front,nmaterials,minPoint,maxPoint,aligned.dims,index,variantIds,isCornerPiece,setIds,componentIds
100,"0,0,1",2,"-0.207407, 0.0, -0.179758","0.207407, 1.3, 0.179758","41.4814, 130.0, 35.9516",5,,,,
101,"0,0,1",6,"-0.300177, 0.0, -0.3","0.300177, 0.786986, 0.30000103","60.0354, 78.6986, 60.000103",6,,,1,
102,"0,0,1",4,"-0.30204, 0.0, -0.317231","0.297761, 2.0, 0.36817402","59.980103, 200.0, 68.5405",7,,,,
104,"0,0,1",1,"-0.6, 0.0, -0.3","0.6, 0.75, 0.3","120.00001, 75.0, 60.000004",8,,,,
105,"0,0,1",1,"-0.55, 0.0, -0.275","0.55, 0.75, 0.275","110.0, 75.0, 55.0",9,,,,
106,"0,0,-1",4,"-0.298098, 0.0, -0.26869398","0.298098, 1.0373, 0.281699","59.6196, 103.729996, 55.0393",10,,,,
107,"0,0,1",1,"-0.8, 0.0, -0.33","0.8, 0.75, 0.33","160.0, 75.0, 66.0",11,,,,
108,"0,0,1",2,"-0.7, 0.0, -0.33","0.7, 0.75, 0.33","140.0, 75.0, 66.0",12,,,,
109,"0,0,1",1,"-0.54, -2.9802322E-8, -0.375","0.54, 0.45, 0.375","108.00001, 45.0, 75.0",13,,,,
110,"0,0,1",3,"-0.25, 0.0023195744, -0.0495171","0.25, 0.509975, 0.05","50.0, 50.765545, 9.95171",14,,,,
111,"0,0,1",3,"-0.38008, 0.0, -0.0220268","0.38008, 0.46051, 0.024999999","76.01601, 46.051, 4.7026796",15,,,,
112,"0,0,1",3,"-0.495, 0.0, -0.049850896","0.495, 0.703872, 0.0498375","99.0, 70.3872, 9.96884",16,,,,
113,"0,0,1",3,"-0.540019, 0.0, -0.0513535","0.539936, 0.715243, 0.048646495","107.9955, 71.5243, 10.0",17,,,,
114,"0,0,-1",3,"-0.64, 0.0, -0.049949497","0.64, 0.773516, 0.0500004","128.0, 77.3516, 9.99499",18,,,,
115,"0,0,1",1,"-0.950012, 0.0, -0.225","0.950012, 0.43, 0.225","190.00241, 43.0, 45.0",19,,,,
116,"0,0,1",3,"-0.90174603, -1.54078E-5, -0.2","0.901479, 0.4, 0.2","180.32251, 40.00154, 40.0",20,,,,
117,"0,0,1",2,"-0.725, 0.0, -0.245","0.725, 0.4, 0.246488","145.0, 40.0, 49.148796",21,,,,
